iter	Accuracy	MultiClass
506	0.8519553073	0.4760968133
507	0.8491620112	0.4757753138
508	0.8491620112	0.47547969
509	0.8491620112	0.4750983098
510	0.8491620112	0.4748513463
511	0.8491620112	0.474548442
512	0.8491620112	0.4739790166
513	0.8491620112	0.4738247345
514	0.8491620112	0.4734311564
515	0.8463687151	0.4728461277
516	0.8491620112	0.4717134793
517	0.8519553073	0.4713510417
518	0.8519553073	0.4708692553
519	0.8519553073	0.4700691913
520	0.8519553073	0.4696642429
521	0.8519553073	0.4691905984
522	0.8519553073	0.46867596
523	0.8547486034	0.4680436762
524	0.8547486034	0.4677130845
525	0.8519553073	0.4674483133
526	0.8547486034	0.4672246674
527	0.8575418994	0.4666287299
528	0.8575418994	0.4662750455
529	0.8603351955	0.4661483588
530	0.8603351955	0.46589416
531	0.8603351955	0.4648187248
532	0.8547486034	0.4642961767
533	0.8519553073	0.4638349255
534	0.8575418994	0.463145795
535	0.8575418994	0.4626994063
536	0.8519553073	0.4624614563
537	0.8547486034	0.4620095995
538	0.8519553073	0.461754973
539	0.8547486034	0.4612166336
540	0.8519553073	0.4607327413
541	0.8547486034	0.4596782409
542	0.8603351955	0.4590341155
543	0.8575418994	0.4584638826
544	0.8575418994	0.4580684464
545	0.8659217877	0.4577749154
546	0.8659217877	0.4571830612
547	0.8659217877	0.4567788876
548	0.8631284916	0.4564016489
549	0.8631284916	0.4563539277
550	0.8659217877	0.4562612038
551	0.8659217877	0.4558976082
552	0.8659217877	0.4555312882
553	0.8659217877	0.4553182471
554	0.8631284916	0.4549522052
555	0.8687150838	0.4541622499
556	0.8687150838	0.4536545033
557	0.874301676	0.4531198747
558	0.8687150838	0.4528180876
559	0.8715083799	0.4523693772
560	0.8715083799	0.452150069
561	0.8715083799	0.4512583851
562	0.8687150838	0.4510066271
563	0.874301676	0.4505366161
564	0.8687150838	0.4499992364
565	0.8715083799	0.4494331766
566	0.8715083799	0.4489394701
567	0.8770949721	0.4483437231
568	0.8715083799	0.447839976
569	0.8715083799	0.4474910945
570	0.8715083799	0.4470164366
571	0.874301676	0.4464011228
572	0.874301676	0.446035366
573	0.8715083799	0.4459402824
574	0.8770949721	0.4454034584
575	0.8798882682	0.4453084789
576	0.874301676	0.4450478649
577	0.874301676	0.444577709
578	0.8770949721	0.4442733206
579	0.874301676	0.4437751705
580	0.874301676	0.4436719963
581	0.874301676	0.4434303016
582	0.874301676	0.4430028787
583	0.8798882682	0.4420063731
584	0.8798882682	0.4410963415
585	0.8798882682	0.4402128642
586	0.8798882682	0.4399640967
587	0.8798882682	0.4394954611
588	0.8798882682	0.4390393821
589	0.8798882682	0.4389001466
590	0.8798882682	0.4388335181
591	0.8798882682	0.438411756
592	0.8854748603	0.4376579476
593	0.8798882682	0.4372144964
594	0.8854748603	0.4364224417
595	0.8854748603	0.4361072329
596	0.8798882682	0.4358707834
597	0.8826815642	0.4353087776
598	0.8854748603	0.434703281
599	0.8854748603	0.4344419984
600	0.8854748603	0.4337333329
601	0.8854748603	0.4329191069
602	0.8826815642	0.4324037925
603	0.8826815642	0.4318617102
604	0.8798882682	0.4313564575
605	0.8798882682	0.4309011057
606	0.8826815642	0.4303287646
607	0.8798882682	0.4292801117
608	0.8798882682	0.4289396501
609	0.8826815642	0.4280414734
610	0.8826815642	0.4276799704
611	0.8826815642	0.427377788
612	0.8826815642	0.4270532297
613	0.8826815642	0.4262961155
614	0.8798882682	0.4259921142
615	0.8798882682	0.4255390925
616	0.8826815642	0.4250368134
617	0.8826815642	0.4240540956
618	0.8826815642	0.4240013257
619	0.8826815642	0.4234443999
620	0.8854748603	0.422634336
621	0.8854748603	0.422389068
622	0.8826815642	0.4220978455
623	0.8826815642	0.4218463869
624	0.8854748603	0.4213292594
625	0.8882681564	0.4208946607
